Gene,Gene Symbol,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of log2(FC),-log10(FDR P),FC
ENSMUSG00000050552,Lamtor4,Age,18,1,0.1194,0.2610,-0.3921,0.6310,0.21,0.6472,0.995805013,0.1723267544,0.3765750719,0.0018256918,1.1268744242
ENSMUSG00000050555,Hyls1,Age,18,1,0.7918,0.7174,-0.6142,2.1978,1.22,0.2697,0.8825381647,1.1423365582,1.0349274402,0.0542665048,2.2073823678
ENSMUSG00000050556,Kcnb1,Age,18,1,-0.3753,0.6713,-1.6910,0.9404,0.31,0.5761,0.985780531,-0.541465167,0.9684798554,0.0062197633,0.6870727798
ENSMUSG00000050558,Prokr2,Age,18,1,2.3059,1.7702,-1.1636,5.7753,1.70,0.1927,0.8256754226,3.3266412927,2.5538105064,0.0831906426,10.032722821
ENSMUSG00000050565,Tor1aip2,Age,18,1,-0.0306,0.2392,-0.4995,0.4383,0.02,0.8981,0.9999208275,-0.044182701,0.3451546437,0.0000343855,0.9698390831
ENSMUSG00000050567,Maml1,Age,18,1,-0.1366,0.6338,-1.3787,1.1055,0.05,0.8294,0.9990842649,-0.197045287,0.9143094119,0.0003978809,0.8723353224
ENSMUSG00000050578,Mmp13,Age,18,0,26.4132,0.0000,26.4132,26.4132,,,,38.106150906,0,,295865578780
ENSMUSG00000050592,Fam78a,Age,18,1,0.1570,0.2243,-0.2825,0.5966,0.49,0.4838,0.9689859603,0.2265504021,0.3235345866,0.0136825154,1.1700339582
ENSMUSG00000050600,Zfp831,Age,18,1,0.4466,0.3834,-0.3048,1.1980,1.36,0.2441,0.8717548826,0.6442771788,0.5530913848,0.0596056115,1.5629560156
ENSMUSG00000050605,Zfp61,Age,18,1,-0.4392,0.4699,-1.3602,0.4819,0.87,0.3500,0.9240363936,-0.633582099,0.6779501811,0.0343109235,0.6445740002
ENSMUSG00000050608,Minos1,Age,18,1,-0.0466,0.2244,-0.4864,0.3933,0.04,0.8356,0.9993708756,-0.067177926,0.3237432592,0.0002733112,0.9545032888
ENSMUSG00000050619,Zscan29,Age,18,1,0.3763,0.1816,0.0203,0.7323,4.29,0.0383,0.5452968514,0.5428990474,0.2620441376,0.26336701,1.4568971639
ENSMUSG00000050621,Rps27rt,Age,18,1,0.1524,0.2313,-0.3009,0.6057,0.43,0.5099,0.9738483291,0.2198826939,0.333671092,0.0115086765,1.1646388854
ENSMUSG00000050627,Gpd1l,Age,18,1,-0.1163,0.2465,-0.5995,0.3669,0.22,0.6371,0.9932716137,-0.167762099,0.3556604773,0.0029319759,0.8902225194
ENSMUSG00000050628,Ubald2,Age,18,1,-0.2499,0.1551,-0.5539,0.0541,2.60,0.1071,0.7147225402,-0.360520365,0.2237560037,0.1458625213,0.778883594
ENSMUSG00000050668,Gpatch11,Age,18,1,-0.3295,0.4627,-1.2364,0.5773,0.51,0.4763,0.9682034341,-0.475413507,0.6675310496,0.0140333813,0.7192606054
ENSMUSG00000050675,Gp1ba,Age,18,1,-0.4638,0.3060,-1.0636,0.1359,2.30,0.1296,0.7497381694,-0.669160107,0.4414758281,0.1250903785,0.6288726913
ENSMUSG00000050697,Prkaa1,Age,18,1,0.3454,0.3015,-0.2455,0.9363,1.31,0.2520,0.8746326638,0.4983028103,0.4349723277,0.0581743076,1.4125508566
ENSMUSG00000050705,2310061I04Rik,Age,18,1,0.3849,0.4034,-0.4058,1.1756,0.91,0.3400,0.9162761506,0.5553377882,0.5820163607,0.0379736174,1.4695126602
ENSMUSG00000050708,Ftl1,Age,18,1,-0.2530,0.2495,-0.7420,0.2360,1.03,0.3106,0.9016684106,-0.364991989,0.3599679746,0.0449531453,0.7764731867
ENSMUSG00000050714,Zbtb26,Age,18,1,0.4400,0.5713,-0.6797,1.5597,0.59,0.4412,0.9589905459,0.6347606523,0.8241884753,0.0181856742,1.552680134
ENSMUSG00000050721,Plekho2,Age,18,1,-0.1340,0.1496,-0.4272,0.1592,0.80,0.3704,0.9306421627,-0.193286207,0.2158058834,0.0312172757,0.8746112395
ENSMUSG00000050732,Vamp8,Age,18,1,0.0959,0.2019,-0.2999,0.4917,0.23,0.6349,0.9930862929,0.1383396966,0.2913271672,0.0030130124,1.1006377347
ENSMUSG00000050737,Ptges,Age,18,1,2.0198,1.1541,-0.2421,4.2817,3.06,0.0801,0.675881161,2.9139590058,1.6649740048,0.1701296586,7.5368360289
ENSMUSG00000050761,Gp1bb,Age,18,1,-0.6659,0.3334,-1.3193,-0.0125,3.99,0.0458,0.5735529976,-0.960666644,0.4809387385,0.2414264461,0.5138194314
ENSMUSG00000050772,Olfr1124,Age,18,1,0.6295,0.4654,-0.2827,1.5416,1.83,0.1762,0.8116592025,0.9081300989,0.6713958934,0.090626283,1.8766116138
ENSMUSG00000050777,Tmem37,Age,18,1,0.9507,0.8123,-0.6413,2.5427,1.37,0.2418,0.8704485874,1.3715312584,1.1718424886,0.0602568752,2.5874504918
ENSMUSG00000050786,Ccdc126,Age,18,1,-0.8004,0.6145,-2.0048,0.4040,1.70,0.1927,0.8256754226,-1.154712385,0.8865442865,0.0831906426,0.449155721
ENSMUSG00000050796,B3galt6,Age,18,1,0.3154,0.9611,-1.5684,2.1992,0.11,0.7428,0.9980162828,0.4549954918,1.3866221984,0.0008623731,1.3707785215
ENSMUSG00000050812,AI314180,Age,18,1,0.0839,0.2508,-0.4077,0.5755,0.11,0.7380,0.9978539623,0.1210492925,0.3618363125,0.0009330138,1.0875255477
ENSMUSG00000050821,Fam131a,Age,18,1,-0.5671,0.3008,-1.1566,0.0224,3.55,0.0594,0.6153836296,-0.818117334,0.4339256197,0.210854061,0.5671816118
ENSMUSG00000050822,Slc29a4,Age,18,1,-0.1797,0.6927,-1.5374,1.1779,0.07,0.7953,0.9981578959,-0.259289338,0.9993288896,0.0008007534,0.8354993793
ENSMUSG00000050846,Zfp623,Age,18,1,0.0062,0.5957,-1.1614,1.1737,0.00,0.9918,0.9999208275,0.0088858576,0.8594279716,0.0000343855,1.0061782141
ENSMUSG00000050855,Zfp940,Age,18,1,-0.0870,0.6945,-1.4483,1.2743,0.02,0.9003,0.9999208275,-0.125542054,1.0020099257,0.0000343855,0.9166595685
ENSMUSG00000050856,Atp5k,Age,18,1,-0.0289,0.1844,-0.3904,0.3325,0.02,0.8752,0.9999208275,-0.041764142,0.2660233802,0.0000343855,0.9714663023
ENSMUSG00000050860,Phospho1,Age,18,1,0.0269,0.2635,-0.4896,0.5434,0.01,0.9187,0.9999208275,0.0388229474,0.3802128165,0.0000343855,1.0272753608
ENSMUSG00000050876,Spata31d1a,Age,18,1,-0.5039,0.6956,-1.8673,0.8595,0.52,0.4688,0.9682034341,-0.726963387,1.0035568231,0.0140333813,0.6041742545
ENSMUSG00000050890,Pdik1l,Age,18,1,0.3317,0.7112,-1.0622,1.7256,0.22,0.6409,0.9932716137,0.4785416469,1.0260383283,0.0029319759,1.3933344974
ENSMUSG00000050891,Tatdn1,Age,18,1,0.2420,0.3623,-0.4681,0.9522,0.45,0.5041,0.9731110751,0.3491829237,0.5227304532,0.0118375847,1.273838979
ENSMUSG00000050896,Rtn4rl2,Age,18,0,24.8968,0.0000,24.8968,24.8968,,,,35.918446424,0,,64942614889
ENSMUSG00000050910,Cdr2l,Age,18,1,-0.4842,1.6095,-3.6388,2.6703,0.09,0.7635,0.9981578959,-0.698609967,2.3219841603,0.0008007534,0.6161655947
ENSMUSG00000050912,Tmem123,Age,18,1,-0.2158,0.2749,-0.7546,0.3231,0.62,0.4326,0.9557915318,-0.311261495,0.3966557519,0.0196368216,0.8059367388
ENSMUSG00000050914,Ankrd37,Age,18,1,-0.1540,0.6790,-1.4847,1.1767,0.05,0.8206,0.9981830775,-0.222192913,0.979529385,0.0007897971,0.8572613987
ENSMUSG00000050919,Zfp366,Age,18,1,0.5347,0.5236,-0.4916,1.5609,1.04,0.3072,0.896995842,0.7713488645,0.7553997337,0.0472095701,1.7068648909
ENSMUSG00000050921,P2ry10,Age,18,1,-0.0221,0.3683,-0.7440,0.6998,0.00,0.9522,0.9999208275,-0.031876672,0.5313972889,0.0000343855,0.9781470864
ENSMUSG00000050930,Map10,Age,18,1,0.8832,1.0378,-1.1508,2.9173,0.72,0.3947,0.9421764412,1.2742148693,1.497240976,0.0258677593,2.4186715523
ENSMUSG00000050931,Sgms2,Age,18,1,-0.5562,0.4817,-1.5002,0.3878,1.33,0.2482,0.8746326638,-0.802421966,0.6948774615,0.0581743076,0.5733857811
ENSMUSG00000050944,Efcab5,Age,18,1,-0.8250,0.7194,-2.2350,0.5851,1.31,0.2515,0.8746326638,-1.190211097,1.0379176872,0.0581743076,0.4382387323
ENSMUSG00000050945,Zfp438,Age,18,1,-0.1218,0.8146,-1.7183,1.4748,0.02,0.8812,0.9999208275,-0.175681089,1.1751782452,0.0000343855,0.8853494517
ENSMUSG00000050947,Amigo1,Age,18,1,-0.1763,0.9843,-2.1055,1.7529,0.03,0.8579,0.9999208275,-0.25433396,1.4200511583,0.0000343855,0.8383740921
ENSMUSG00000050953,Gja1,Age,18,1,0.7683,1.2832,-1.7468,3.2833,0.36,0.5494,0.9796519083,1.1083888847,1.8512890152,0.0089282112,2.1560473836
ENSMUSG00000050954,Zfp169,Age,18,1,0.0208,0.6762,-1.3046,1.3462,0.00,0.9754,0.9999208275,0.0300569069,0.9755981935,0.0000343855,1.0210524002
ENSMUSG00000050957,Insl6,Age,18,1,0.3372,0.7290,-1.0915,1.7659,0.21,0.6437,0.9947192651,0.4864488385,1.0516616588,0.0022994708,1.4009921173
ENSMUSG00000050965,Prkca,Age,18,1,-0.4435,0.2427,-0.9192,0.0322,3.34,0.0676,0.6415473689,-0.639817194,0.3501345386,0.1927712718,0.6417942664
ENSMUSG00000050966,Lin28a,Age,18,1,1.0648,0.7110,-0.3286,2.4582,2.24,0.1342,0.758894436,1.5361941706,1.025685566,0.1198186313,2.9002839852
ENSMUSG00000050967,Creg2,Age,18,1,-0.7138,0.8931,-2.4641,1.0366,0.64,0.4241,0.9530111335,-1.029763482,1.2884112092,0.0209020257,0.4897904392
ENSMUSG00000050973,Gdpgp1,Age,18,1,0.4936,0.4950,-0.4766,1.4639,0.99,0.3187,0.9061526308,0.7121494955,0.7141674338,0.0427986444,1.6382431455
ENSMUSG00000050982,Apol10a,Age,18,1,0.1517,0.2552,-0.3484,0.6518,0.35,0.5522,0.9796519083,0.2188611564,0.3681218921,0.0089282112,1.1638145246
ENSMUSG00000050989,Selenon,Age,18,1,0.0988,0.2406,-0.3728,0.5704,0.17,0.6813,0.995805013,0.14258391,0.347141701,0.0018256918,1.1038804294
ENSMUSG00000050994,Adgb,Age,18,1,-0.2784,0.8231,-1.8917,1.3350,0.11,0.7352,0.9978539623,-0.401583391,1.1875412255,0.0009330138,0.7570269726
ENSMUSG00000051000,Fam160a1,Age,18,1,0.7646,1.0697,-1.3320,2.8613,0.51,0.4748,0.9682034341,1.1031143799,1.5433151522,0.0140333813,2.1481792486
ENSMUSG00000051003,Olfr161,Age,18,1,1.0332,0.8706,-0.6731,2.7396,1.41,0.2353,0.8642437029,1.490654225,1.2559996036,0.0633637761,2.8101637995
ENSMUSG00000051007,Gatd1,Age,18,1,0.2853,0.2939,-0.2908,0.8614,0.94,0.3317,0.9112164947,0.4116007879,0.4240211458,0.0403784273,1.3301609177
ENSMUSG00000051022,Hs3st1,Age,18,1,-0.1368,0.9858,-2.0688,1.7953,0.02,0.8897,0.9999208275,-0.197305976,1.422143526,0.0000343855,0.872177709
ENSMUSG00000051034,Zfp11,Age,18,1,1.2405,1.2750,-1.2585,3.7394,0.95,0.3306,0.9106475802,1.7896082488,1.839406083,0.0406496621,3.4572100226
ENSMUSG00000051037,Zfp455,Age,18,1,-0.2403,1.1494,-2.4931,2.0126,0.04,0.8344,0.9993708756,-0.34664967,1.6582848186,0.0002733112,0.7864082328
ENSMUSG00000051043,Gprc5c,Age,18,1,-0.5203,0.9948,-2.4702,1.4295,0.27,0.6010,0.9881278475,-0.750675001,1.4352318021,0.0051868612,0.5943254223
ENSMUSG00000051065,Mb21d2,Age,18,1,-2.3966,1.8377,-5.9984,1.2052,1.70,0.1922,0.824932023,-3.457574047,2.6512108678,0.0835818372,0.0910262181
ENSMUSG00000051079,Rgs13,Age,18,0,26.1484,0.0000,26.1484,26.1484,,,,37.724161014,0,,227040861729
ENSMUSG00000051095,Olfr986,Age,18,1,0.0259,0.1806,-0.3281,0.3799,0.02,0.8859,0.9999208275,0.0374018714,0.2605719229,0.0000343855,1.0262639776
ENSMUSG00000051098,Mblac2,Age,18,1,-0.6225,1.0946,-2.7679,1.5228,0.32,0.5695,0.9841342665,-0.898108373,1.5791433332,0.0069456463,0.5365898337
ENSMUSG00000051111,Sv2c,Age,18,1,1.6933,1.1342,-0.5297,3.9163,2.23,0.1354,0.7603094872,2.4429130126,1.6362895636,0.1190095903,5.4373851101
ENSMUSG00000051113,Fam71e1,Age,18,1,0.8920,1.0058,-1.0794,2.8634,0.79,0.3752,0.933442951,1.286902041,1.451105939,0.0299122196,2.4400353365
ENSMUSG00000051116,Gm8121,Age,18,1,24.6624,28481.2670,-55797.5951,55846.9198,0.00,0.9993,0.9999208275,35.58025153,41089.782588,0.0000343855,51371584806
ENSMUSG00000051118,Olfr77,Age,18,1,0.3112,0.3447,-0.3644,0.9869,0.82,0.3666,0.9291654453,0.4490240021,0.4973415078,0.0319069495,1.3651164292
ENSMUSG00000051124,Gimap9,Age,18,1,0.1186,0.3374,-0.5426,0.7799,0.12,0.7251,0.995805013,0.171173063,0.4867366764,0.0018256918,1.1259736477
ENSMUSG00000051146,Camk2n2,Age,18,1,-0.7098,1.6977,-4.0373,2.6176,0.17,0.6759,0.995805013,-1.024050453,2.4492746982,0.0018256918,0.4917338403
ENSMUSG00000051147,Nat2,Age,18,1,-0.7788,0.7973,-2.3415,0.7840,0.95,0.3287,0.909902919,-1.123506717,1.1503151693,0.0410049418,0.4589768465
ENSMUSG00000051149,Adnp,Age,18,1,1.5177,1.2815,-0.9940,4.0294,1.40,0.2363,0.8657388211,2.1895820569,1.848797867,0.0626131076,4.5617331558
ENSMUSG00000051154,Commd3,Age,18,1,0.1094,0.2345,-0.3502,0.5689,0.22,0.6409,0.9932716137,0.1577609082,0.3382636518,0.0029319759,1.1155544309
ENSMUSG00000051160,Olfr853,Age,18,1,2.1622,0.9444,0.3112,4.0132,5.24,0.0221,0.4567982866,3.1193600382,1.3624882485,0.3402755338,8.6900232575
ENSMUSG00000051166,Eml5,Age,18,1,1.9376,0.4981,0.9614,2.9139,15.13,0.0001,0.039815539,2.7953881413,0.7185978669,1.3999474008,6.9421769626
ENSMUSG00000051169,Rpusd3,Age,18,1,0.6865,0.7281,-0.7405,2.1136,0.89,0.3457,0.9200472502,0.9904635524,1.0504512521,0.0361898683,1.9868232746
ENSMUSG00000051177,Plcb1,Age,18,1,-0.1359,0.6682,-1.4455,1.1736,0.04,0.8388,0.9993708756,-0.196130581,0.9639707052,0.0002733112,0.8728885806
ENSMUSG00000051182,Olfr655,Age,18,1,0.0135,0.7858,-1.5266,1.5535,0.00,0.9863,0.9999208275,0.0194534564,1.1336000626,0.0000343855,1.0135754291
ENSMUSG00000051184,Zfp524,Age,18,1,0.3559,0.2844,-0.2015,0.9132,1.57,0.2107,0.8410579251,0.5134458604,0.4102542561,0.0751740926,1.4274555883
ENSMUSG00000051185,Fam174a,Age,18,1,-0.1541,0.5886,-1.3076,0.9995,0.07,0.7935,0.9981578959,-0.222300989,0.8491168966,0.0008007534,0.857197181
ENSMUSG00000051190,Olfr1356,Age,18,1,-0.5643,0.5616,-1.6649,0.5364,1.01,0.3150,0.9045530061,-0.814056718,0.8101739664,0.0435659787,0.5687802524
ENSMUSG00000051212,Gpr183,Age,18,1,-0.2424,0.2444,-0.7214,0.2366,0.98,0.3212,0.9094001016,-0.349743636,0.3525734218,0.0412450016,0.7847235293
ENSMUSG00000051220,Ercc6l,Age,18,1,0.2813,0.7080,-1.1063,1.6688,0.16,0.6912,0.995805013,0.4057849856,1.0213735177,0.0018256918,1.3248095572
ENSMUSG00000051223,Bzw1,Age,18,1,-0.3526,0.2497,-0.8420,0.1367,2.00,0.1578,0.785942484,-0.508765464,0.3601867711,0.1046092349,0.7028235975
ENSMUSG00000051224,Tceanc,Age,18,1,0.0647,1.2004,-2.2880,2.4174,0.00,0.9570,0.9999208275,0.0933576024,1.7317787492,0.0000343855,1.0668501894
ENSMUSG00000051228,Nyx,Age,18,1,0.3730,0.7312,-1.0601,1.8061,0.26,0.6100,0.9914300773,0.538130039,1.0548728589,0.0037379099,1.4520891597
ENSMUSG00000051232,Tmem199,Age,18,1,0.5214,0.7107,-0.8716,1.9144,0.54,0.4632,0.9657902944,0.7522088619,1.0253786509,0.0151171633,1.6843697392
ENSMUSG00000051234,Rnf7,Age,18,1,-0.0348,0.4077,-0.8339,0.7643,0.01,0.9319,0.9999208275,-0.050250839,0.5881943887,0.0000343855,0.9657683976
ENSMUSG00000051235,Gen1,Age,18,1,0.0834,0.5577,-1.0096,1.1765,0.02,0.8811,0.9999208275,0.1203842186,0.8046023,0.0000343855,1.0870243203
ENSMUSG00000051238,Swsap1,Age,18,1,0.4406,0.7991,-1.1256,2.0069,0.30,0.5814,0.9862796008,0.6356903643,1.1528715871,0.0059999493,1.5536810459
ENSMUSG00000051243,Islr2,Age,18,1,0.3395,1.0999,-1.8162,2.4951,0.10,0.7576,0.9981578959,0.4897229687,1.58675272,0.0008007534,1.4041752153
ENSMUSG00000051246,Msantd1,Age,18,1,2.9517,1.2354,0.5304,5.3731,5.71,0.0169,0.417027432,4.2584453716,1.7822928696,0.3798353762,19.139024208
ENSMUSG00000051255,Gm6563,Age,18,1,-1.4282,1.0787,-3.5424,0.6860,1.75,0.1855,0.8201773553,-2.060506562,1.5562245094,0.0860922255,0.2397318399
ENSMUSG00000051256,Jagn1,Age,18,1,0.1758,0.4524,-0.7109,1.0625,0.15,0.6976,0.995805013,0.2535995567,0.6526861089,0.0018256918,1.1921779181
ENSMUSG00000051278,Zgrf1,Age,18,1,-0.0608,1.1105,-2.2373,2.1157,0.00,0.9563,0.9999208275,-0.087718764,1.6021028454,0.0000343855,0.9410095282
ENSMUSG00000051285,Pcmtd1,Age,18,1,0.4568,0.2140,0.0373,0.8763,4.55,0.0328,0.511052552,0.6590452403,0.3088047509,0.2915344386,1.5790372884
ENSMUSG00000051306,Usp42,Age,18,1,0.3956,0.7208,-1.0172,1.8084,0.30,0.5831,0.9862796008,0.5707536875,1.0399401121,0.0059999493,1.4852993126
ENSMUSG00000051313,Olfr1262,Age,18,1,0.9999,0.8917,-0.7477,2.7475,1.26,0.2621,0.8800315437,1.4425066397,1.2863838063,0.0555017608,2.7179268718
ENSMUSG00000051314,Ffar2,Age,18,1,-0.0130,0.7266,-1.4371,1.4110,0.00,0.9857,0.9999208275,-0.018797929,1.048234291,0.0000343855,0.9870547878
ENSMUSG00000051316,Taf7,Age,18,1,-0.5033,0.4582,-1.4014,0.3948,1.21,0.2720,0.8836861476,-0.72612085,0.6610476057,0.0537019528,0.6045271964
ENSMUSG00000051319,1500011K16Rik,Age,18,1,0.1226,0.6622,-1.1752,1.4204,0.03,0.8531,0.9993708756,0.1768863539,0.955309927,0.0002733112,1.1304415149
ENSMUSG00000051329,Nup160,Age,18,1,-0.3136,0.7057,-1.6967,1.0694,0.20,0.6567,0.995805013,-0.452474165,1.0180490535,0.0018256918,0.7307884992
ENSMUSG00000051335,Gfod1,Age,18,1,-0.1418,0.4534,-1.0305,0.7468,0.10,0.7544,0.9981578959,-0.204595267,0.6541221412,0.0008007534,0.8677821
ENSMUSG00000051339,2900026A02Rik,Age,18,1,-0.0361,0.2638,-0.5532,0.4809,0.02,0.8910,0.9999208275,-0.052138145,0.3806036648,0.0000343855,0.9645058244
ENSMUSG00000051341,Zfp52,Age,18,1,-0.4497,0.6397,-1.7035,0.8042,0.49,0.4821,0.9682034341,-0.648712192,0.9229043574,0.0140333813,0.6378494298
ENSMUSG00000051343,Rab11fip5,Age,18,1,0.0701,0.3515,-0.6189,0.7591,0.04,0.8420,0.9993708756,0.101091008,0.50717262,0.0002733112,1.0725842754
ENSMUSG00000051344,Plekhm3,Age,18,1,-0.0122,0.2814,-0.5637,0.5393,0.00,0.9655,0.9999208275,-0.017573591,0.4059530235,0.0000343855,0.9878928041
ENSMUSG00000051346,Spryd4,Age,18,1,-0.3620,0.6492,-1.6344,0.9105,0.31,0.5771,0.9862496528,-0.522232306,0.9366394533,0.0060131367,0.6962936126
ENSMUSG00000051351,Zfp46,Age,18,1,0.7938,0.5629,-0.3094,1.8969,1.99,0.1585,0.786858584,1.1451500809,0.8120284019,0.104103313,2.2116913729
ENSMUSG00000051354,Samd3,Age,18,1,-0.8476,0.9101,-2.6314,0.9362,0.87,0.3517,0.9241849972,-1.222843614,1.3130325563,0.0342410859,0.4284374168
ENSMUSG00000051355,Commd1,Age,18,1,-0.1486,0.2878,-0.7127,0.4156,0.27,0.6057,0.9889191772,-0.214358548,0.4152617174,0.0048392012,0.8619293061
ENSMUSG00000051359,Ncald,Age,18,1,0.3283,1.1675,-1.9600,2.6165,0.08,0.7786,0.9981578959,0.4736231564,1.6843382257,0.0008007534,1.3885923769
ENSMUSG00000051373,Plpp7,Age,18,1,1.7911,1.8075,-1.7515,5.3337,0.98,0.3217,0.9094001016,2.584066596,2.6076448434,0.0412450016,5.9962751938
ENSMUSG00000051378,Kif18b,Age,18,1,0.5362,1.0693,-1.5596,2.6319,0.25,0.6161,0.9920443858,0.7735582977,1.5426388909,0.0034688963,1.7094808929
ENSMUSG00000051390,Zbtb22,Age,18,1,0.4440,0.2387,-0.0238,0.9118,3.46,0.0628,0.6299165591,0.6405316433,0.3443172175,0.2007169749,1.5589035204
ENSMUSG00000051391,Ywhag,Age,18,1,-0.0991,0.1299,-0.3536,0.1554,0.58,0.4453,0.9591642792,-0.142991056,0.1873590047,0.0181070034,0.9056395974
ENSMUSG00000051392,Olfr1402,Age,18,1,-0.1771,1.5715,-3.2572,2.9031,0.01,0.9103,0.9999208275,-0.255465178,2.2672292003,0.0000343855,0.8377169802
ENSMUSG00000051396,Gm45902,Age,18,1,0.3097,0.8884,-1.4315,2.0509,0.12,0.7274,0.995805013,0.4467628191,1.2816601375,0.0018256918,1.3629785134
ENSMUSG00000051397,Tacstd2,Age,18,1,-0.1255,0.5952,-1.2921,1.0411,0.04,0.8330,0.9993708756,-0.181040559,0.8587058381,0.0002733112,0.8820665671
ENSMUSG00000051403,Ppp1r37,Age,18,1,0.3978,0.2541,-0.1002,0.8958,2.45,0.1174,0.7306816882,0.5739298561,0.3665714476,0.1362717765,1.4885728789
ENSMUSG00000051413,Plagl2,Age,18,1,0.1661,0.5777,-0.9663,1.2985,0.08,0.7737,0.9981578959,0.2396318452,0.8335045522,0.0008007534,1.1806913277
ENSMUSG00000051427,Ccdc157,Age,18,1,-0.3792,0.5791,-1.5143,0.7559,0.43,0.5126,0.9744052578,-0.547065638,0.835505945,0.0112603813,0.6844107674
ENSMUSG00000051439,Cd14,Age,18,1,-0.1579,0.3318,-0.8083,0.4925,0.23,0.6342,0.992830538,-0.227785276,0.4787304468,0.003124873,0.8539448022
ENSMUSG00000051444,Bbs12,Age,18,1,-0.0190,1.3486,-2.6622,2.6242,0.00,0.9888,0.9999208275,-0.02740916,1.9456068022,0.0000343855,0.9811807535
ENSMUSG00000051451,Crebzf,Age,18,1,-0.1555,0.4106,-0.9603,0.6492,0.14,0.7048,0.995805013,-0.22440864,0.592345344,0.0018256918,0.8559458056
ENSMUSG00000051457,Spn,Age,18,1,-0.0309,0.2201,-0.4624,0.4006,0.02,0.8884,0.9999208275,-0.04458829,0.3176059112,0.0000343855,0.9695664678
ENSMUSG00000051469,Zfp24,Age,18,1,0.1029,0.5848,-1.0432,1.2490,0.03,0.8603,0.9999208275,0.1484840432,0.8436197363,0.0000343855,1.1084041697
ENSMUSG00000051483,Cbr1,Age,18,1,0.1867,0.2180,-0.2407,0.6140,0.73,0.3919,0.9421764412,0.2692913582,0.3145374445,0.0258677593,1.2052156887
ENSMUSG00000051490,Foxd4,Age,18,1,-0.1794,0.5694,-1.2954,0.9366,0.10,0.7527,0.9981578959,-0.25883274,0.8214513804,0.0008007534,0.8357638482
ENSMUSG00000051495,Irf2bp2,Age,18,1,0.0818,0.2153,-0.3402,0.5038,0.14,0.7041,0.995805013,0.1179893428,0.31063566,0.0018256918,1.0852213553
ENSMUSG00000051497,Kcnj16,Age,18,1,0.0918,0.7102,-1.3001,1.4837,0.02,0.8972,0.9999208275,0.1323974608,1.0245610731,0.0000343855,1.0961137029
ENSMUSG00000051498,Tlr6,Age,18,1,0.4212,0.3767,-0.3171,1.1594,1.25,0.2635,0.8800315437,0.607614236,0.543419088,0.0555017608,1.5237373419
ENSMUSG00000051502,Ufsp1,Age,18,1,-0.6566,0.3178,-1.2796,-0.0337,4.27,0.0388,0.548623746,-0.947333946,0.4585584751,0.2607253989,0.5185899144
ENSMUSG00000051504,Siglech,Age,18,1,-0.3133,1.0378,-2.3473,1.7208,0.09,0.7628,0.9981578959,-0.451925758,1.4972456711,0.0008007534,0.7310663445
ENSMUSG00000051506,Wdfy4,Age,18,1,0.8169,0.2278,0.3704,1.2634,12.86,0.0003,0.0825260233,1.1785472152,0.3286358844,1.0834090818,2.2634873051
ENSMUSG00000051510,Mafg,Age,18,1,-0.2818,0.2279,-0.7286,0.1649,1.53,0.2163,0.8447979595,-0.406596214,0.3288336841,0.0732471438,0.7544011527
ENSMUSG00000051517,Arhgef39,Age,18,1,-0.1686,1.5032,-3.1149,2.7777,0.01,0.9107,0.9999208275,-0.243264954,2.1687242565,0.0000343855,0.8448312151
ENSMUSG00000051518,Rps19bp1,Age,18,1,0.3102,0.3991,-0.4720,1.0925,0.60,0.4370,0.9577940294,0.4475720008,0.5757973954,0.0187278745,1.363743198
ENSMUSG00000051537,Gm5124,Age,18,1,0.9232,1.5096,-2.0356,3.8819,0.37,0.5408,0.9796438582,1.3318415411,2.1778597026,0.00893178,2.5172378502
ENSMUSG00000051550,Zfp579,Age,18,1,0.7047,0.2562,0.2026,1.2068,7.57,0.0059,0.2963440933,1.0166111696,0.3695937832,0.5282037247,2.0231610528
ENSMUSG00000051557,Pusl1,Age,18,1,0.6599,0.7143,-0.7401,2.0599,0.85,0.3556,0.9254927275,0.952016722,1.0305358513,0.0336269896,1.9345750823
ENSMUSG00000051579,Tceal8,Age,18,1,0.1100,0.4161,-0.7055,0.9256,0.07,0.7915,0.9981578959,0.1587375474,0.6003252486,0.0008007534,1.1163098663
ENSMUSG00000051586,Mical3,Age,18,1,0.2619,0.3312,-0.3872,0.9110,0.63,0.4290,0.9552404843,0.3778408882,0.477766106,0.0198872799,1.299395747
ENSMUSG00000051590,Map3k19,Age,18,1,1.0633,0.7596,-0.4254,2.5521,1.96,0.1615,0.7927775791,1.5340895249,1.0958656432,0.1008486408,2.8960560509
ENSMUSG00000051615,Rap2a,Age,18,1,-0.1924,0.2821,-0.7454,0.3605,0.47,0.4951,0.9713194905,-0.277637298,0.4070007531,0.0126378966,0.8249409176
ENSMUSG00000051627,Hist1h1e,Age,18,1,-0.1722,0.6256,-1.3983,1.0539,0.08,0.7831,0.9981578959,-0.248399617,0.9025301692,0.0008007534,0.84182974
ENSMUSG00000051650,B3gnt2,Age,18,1,0.1687,1.0260,-1.8423,2.1797,0.03,0.8694,0.9999208275,0.2434092609,1.4802453609,0.0000343855,1.1837867885
ENSMUSG00000051652,Lrrc3,Age,18,1,1.9625,0.7513,0.4899,3.4352,6.82,0.0090,0.3336203196,2.831356017,1.0839650505,0.476747506,7.1174281151
