Gene,Gene Symbol,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of log2(FC),-log10(FDR P),FC
ENSMUSG00000031709,Tbc1d9,Age,18,1,0.6168,0.4360,-0.2376,1.4713,2.00,0.1571,0.784532173,0.8898965435,0.6289441574,0.1053892417,1.8530432362
ENSMUSG00000031711,Zfp330,Age,18,1,0.0079,0.3129,-0.6055,0.6212,0.00,0.9799,0.9999208275,0.0113836274,0.4514799249,0.0000343855,1.0079217415
ENSMUSG00000031712,Il15,Age,18,1,0.4301,0.5317,-0.6120,1.4723,0.65,0.4185,0.9510198108,0.62055214,0.7671171745,0.0218104361,1.5374634779
ENSMUSG00000031714,Gab1,Age,18,1,-0.1697,0.5804,-1.3073,0.9679,0.09,0.7700,0.9981578959,-0.244818286,0.8373570141,0.0008007534,0.8439220853
ENSMUSG00000031715,Smarca5,Age,18,1,-0.0696,0.3351,-0.7264,0.5872,0.04,0.8355,0.9993708756,-0.100394704,0.4834838664,0.0002733112,0.9327777598
ENSMUSG00000031722,Hp,Age,18,1,0.0562,0.2479,-0.4296,0.5421,0.05,0.8205,0.9981830775,0.0811387458,0.3576155302,0.0007897971,1.0578526938
ENSMUSG00000031723,Txnl4b,Age,18,1,-0.2029,0.1554,-0.5074,0.1016,1.71,0.1915,0.8249270701,-0.292751478,0.2241247744,0.0835844447,0.8163436591
ENSMUSG00000031728,Zfp821,Age,18,1,0.3495,0.2662,-0.1723,0.8714,1.72,0.1892,0.8233486597,0.5042831341,0.3841006626,0.0844162171,1.4184183781
ENSMUSG00000031729,Ist1,Age,18,1,0.2715,0.2577,-0.2335,0.7765,1.11,0.2919,0.8900708232,0.3917404247,0.3717210918,0.050575435,1.3119751777
ENSMUSG00000031730,Dhodh,Age,18,1,0.1838,0.5402,-0.8749,1.2425,0.12,0.7336,0.9978080749,0.2651858716,0.7793016329,0.0009529858,1.201790874
ENSMUSG00000031731,Ap1g1,Age,18,1,0.1475,0.3039,-0.4482,0.7431,0.24,0.6275,0.992830538,0.2127686526,0.4384529332,0.003124873,1.1589100968
ENSMUSG00000031732,Phlpp2,Age,18,1,1.0151,0.7423,-0.4398,2.4700,1.87,0.1715,0.8055561348,1.4644619965,1.0709028036,0.0939041906,2.7596054149
ENSMUSG00000031740,Mmp2,Age,18,0,25.3620,0.0000,25.3620,25.3620,,,,36.589644421,0,,103414277340
ENSMUSG00000031749,St3gal2,Age,18,1,0.1630,0.2114,-0.2512,0.5772,0.59,0.4406,0.9589779284,0.2351568032,0.3049175038,0.0181913883,1.1770346594
ENSMUSG00000031750,Il34,Age,18,1,-1.2311,1.1369,-3.4594,0.9972,1.17,0.2789,0.8853586091,-1.776071834,1.6402212242,0.0528807853,0.2919773103
ENSMUSG00000031751,Amfr,Age,18,1,-0.1470,0.2254,-0.5888,0.2948,0.43,0.5144,0.9747487587,-0.212043973,0.3251896885,0.0111073092,0.8633132449
ENSMUSG00000031753,Cog4,Age,18,1,0.1382,0.2536,-0.3588,0.6352,0.30,0.5858,0.9875957167,0.1993493182,0.3658374502,0.0054208023,1.1481803879
ENSMUSG00000031754,Nudt21,Age,18,1,0.3784,0.3136,-0.2362,0.9931,1.46,0.2276,0.8593259159,0.5459359429,0.4524325496,0.0658420904,1.4599671852
ENSMUSG00000031755,Bbs2,Age,18,1,0.4189,0.6956,-0.9444,1.7823,0.36,0.5470,0.9796519083,0.6044070209,1.0035387977,0.0089282112,1.5203537263
ENSMUSG00000031756,Cenpn,Age,18,1,0.3225,0.6664,-0.9836,1.6285,0.23,0.6285,0.992830538,0.4651990439,0.9613408316,0.003124873,1.3805078044
ENSMUSG00000031758,Cdyl2,Age,18,1,0.5544,0.9152,-1.2393,2.3481,0.37,0.5446,0.9796519083,0.7998573866,1.3203257981,0.0089282112,1.7409290236
ENSMUSG00000031762,Mt2,Age,18,1,-1.5245,1.4673,-4.4004,1.3514,1.08,0.2988,0.8926776698,-2.199429912,2.1169029148,0.0493053289,0.2177236583
ENSMUSG00000031765,Mt1,Age,18,1,0.2657,0.4203,-0.5581,1.0895,0.40,0.5273,0.9774390893,0.383276291,0.6063807134,0.0099102969,1.3043004984
ENSMUSG00000031766,Slc12a3,Age,18,1,-0.5331,0.7952,-2.0918,1.0255,0.45,0.5026,0.9722960982,-0.769166772,1.1472889377,0.012201457,0.5867562575
ENSMUSG00000031767,Nudt7,Age,18,1,-0.1637,0.4128,-0.9727,0.6453,0.16,0.6916,0.995805013,-0.236210961,0.5954961769,0.0018256918,0.8489720947
ENSMUSG00000031770,Herpud1,Age,18,1,-0.0689,0.2314,-0.5224,0.3845,0.09,0.7657,0.9981578959,-0.099466865,0.3337959291,0.0008007534,0.9333778494
